E00170:22:H00WVALXX:1:1205:21097:67042	1000213	1000281	68
E00170:22:H00WVALXX:1:2216:29298:53786	1000187	1000282	95
E00170:22:H00WVALXX:1:1201:29410:27925	1000231	1000288	57
E00125:9:H05MEALXX:7:1101:15951:31195	1000247	1000292	45
E00121:9:H00UWALXX:7:1102:12652:15602	1000232	1000295	63
E00125:9:H05MEALXX:7:2101:4085:37612	1000225	1000300	75
E00170:22:H00WVALXX:1:1102:10764:27837	1000253	1000302	49
E00125:9:H05MEALXX:7:1219:11038:10310	1000248	1000304	56
E00170:22:H00WVALXX:1:2117:6318:17852	1000249	1000305	56
E00125:9:H05MEALXX:7:2204:8247:68342	1000268	1000309	41
E00170:22:H00WVALXX:1:2206:6196:9202	1000252	1000311	59
E00121:9:H00UWALXX:7:1122:2228:24937	1000265	1000313	48
E00170:22:H00WVALXX:1:1212:4522:49022	1000221	1000318	97
E00170:22:H00WVALXX:1:1108:26101:38052	1000257	1000322	65
E00170:22:H00WVALXX:1:2224:12175:28523	1000258	1000323	65
E00170:22:H00WVALXX:1:1123:7760:11206	1000298	1000324	26
E00170:22:H00WVALXX:1:2204:30201:65653	1000238	1000327	89
E00170:22:H00WVALXX:1:2107:4633:53540	1000283	1000328	45
E00170:22:H00WVALXX:1:2116:31988:13509	1000284	1000329	45
E00170:22:H00WVALXX:1:2201:30638:71015	1000226	1000332	106
E00170:22:H00WVALXX:1:1123:27085:62084	1000266	1000333	67
E00170:22:H00WVALXX:1:1201:10622:12367	1000273	1000334	61
E00121:9:H00UWALXX:7:1109:23888:44345	1000246	1000335	89
E00170:22:H00WVALXX:1:2120:20163:45699	1000236	1000337	101
E00170:22:H00WVALXX:1:1213:7567:2293	1000275	1000338	63
E00170:22:H00WVALXX:1:1115:17361:48090	1000285	1000339	54
E00170:22:H00WVALXX:1:1212:25126:16182	1000341	1000342	1
E00121:9:H00UWALXX:7:1110:8247:29138	1000274	1000343	69
E00170:22:H00WVALXX:1:1121:3080:11751	1000296	1000344	48
E00170:22:H00WVALXX:1:1120:17087:39739	1000316	1000345	29
E00170:22:H00WVALXX:1:1121:18945:39159	1000317	1000346	29
E00170:22:H00WVALXX:1:1104:2268:33024	1000294	1000347	53
E00170:22:H00WVALXX:1:2224:13220:10960	1000259	1000348	89
E00170:22:H00WVALXX:1:1203:25400:27064	1000287	1000349	62
E00125:9:H05MEALXX:7:2219:2938:22089	1000276	1000351	75
E00121:9:H00UWALXX:7:1116:14794:5423	1000303	1000352	49
E00170:22:H00WVALXX:1:1104:2228:33024	1000293	1000355	62
E00121:9:H00UWALXX:7:1110:3486:63191	1000306	1000358	52
E00170:22:H00WVALXX:1:2117:24355:25534	1000312	1000361	49
E00121:9:H00UWALXX:7:1114:11545:54331	1000269	1000365	96
E00170:22:H00WVALXX:1:1113:5060:71226	1000299	1000367	68
E00170:22:H00WVALXX:1:2111:5892:23091	1000336	1000368	32
E00170:22:H00WVALXX:1:1111:13718:47826	1000314	1000370	56
E00170:22:H00WVALXX:1:2105:9475:55808	1000286	1000372	86
E00121:9:H00UWALXX:7:1101:19320:65336	1000297	1000374	77
E00125:9:H05MEALXX:7:1201:7465:51096	1000320	1000375	55
E00170:22:H00WVALXX:1:1122:4846:71665	1000315	1000377	62
E00121:9:H00UWALXX:7:1114:8034:19452	1000301	1000378	77
E00170:22:H00WVALXX:1:2118:23908:9114	1000290	1000379	89
E00170:22:H00WVALXX:1:1119:17148:28488	1000330	1000382	52
E00170:22:H00WVALXX:1:2218:31785:62980	1000353	1000387	34
E00121:9:H00UWALXX:7:2101:22244:40021	1000350	1000392	42
E00170:22:H00WVALXX:1:1116:30384:2012	1000307	1000393	86
E00121:9:H00UWALXX:7:1101:8856:10785	1000331	1000401	70
E00170:22:H00WVALXX:1:2217:21909:67428	1000340	1000402	62
